,Person,Hospital
1884,冯涛,北京天坛医院
1884,冯涛,首都医科大学附属北京天坛医院
1885,刘国艳,复旦大学附属华山医院
1885,刘国艳,潍坊医学院附属医院
1886,吴世政,青海省人民医院
1887,张建宁,天津医科大学总医院
1888,张颖冬,南京市第一医院
1889,洪涛,南昌大学第一附属医院
1890,夏鹰,海口市人民医院
1891,区卫国,交大医学院附属瑞全医院
1892,胡十齐,湘潭市中心医院
1893,谢定芳,湘潭市中心医院
1894,付贵华,湘潭市中心医院
1895,张晶晶,中山市人民医院
1896,徐伟,中山市人民医院
1897,林贵南,中山市人民医院
1898,董强,复旦大学附属华山医院
1898,董强,北京大学第三医院
1898,董强,中国CAA医院
1899,黄云海,广州市第一人民医院
1900,纪伟,江苏省中医院
1901,郝燕捷,北京大学第一医院
1902,李志华,广州医科大学附属第三医院
1903,赵卫一,上海中医药大学附属曙光医院
1904,约翰·霍普金斯,约翰·霍普金斯医院
1905,张天亮,山东省精神卫生中心
1906,李宇晨,厦门市仙岳医院
1907,寻广磊,山东省精神卫生中心
1908,张安平,浙江省人民医院
1909,陈江汉,上海长征医院
1910,周平玉,上海市皮肤病医院
1911,汉密尔顿,流行病学研究中心
1912,沈璐,中南大学湘雅医院
1913,王海鹏,北京航天总医院
1914,毕鸿雁,首都医科大学附属北京友谊医院
1915,黄伟,山东省肿瘤医院
1916,刘磊,北京同仁医院
1916,刘磊,哈尔滨医科大学附属肿瘤医院
1917,李青,天津市泰达医院
1918,牛津,天津医科大学第二医院
1919,柳江,新疆自治区人民医院
1920,韩志刚,附属肿瘤医院
1921,张跃,巴州人民医院
1922,韩成坤,厦门大学附属第一医院
1923,叶峰,厦门大学附属第一医院
1923,叶峰,附属第一医院
1924,李毅斌,厦门大学附属第一医院
1925,吴敬勋,厦门大学附属第一医院
1926,常建,北京医院
1927,邓雪蓉,北京大学第一医院
1928,张起帆,南方医院
1929,朱鹏,武汉同济医院
1930,应世红,浙大附一医院
1931,张学军,复旦大学皮肤病研究所
1931,张学军,第一附属医院
1931,张学军,安徽医科，附属医院
1931,张学军,博鳌超级医院
1931,张学军,苏州大学附属独墅湖医院
1931,张学军,复大学皮肤病研究所
1932,蒋骑,中科大附属第一医院
1933,张建波,江苏省人民医院
1934,蒋红良,蒋红良·一國二医院
1935,王亚娜,中国中医科学院望京医院
1935,王亚娜,望京医院
1936,邵喜英,中国科学院大学附属肿瘤医院
1937,郑亚兵,中国科学院大学附属肿瘤医院
1938,刘亚岚,2018中山医院
1939,王亮春,中山大学附属第二医院
1940,刘芝翠,上海交通大学医学院附属瑞金医院
1941,王岚琦,上海交通大学医学院附属瑞金医院
1942,徐涵,上海交大医学院附属瑞金医院
1943,赵肖庆,上海交通大学医学院附属瑞金医院
1944,王文第,北京大学第三医院
1945,陈进宏,复旦大学附属华山医院
1946,刘子玲,吉林大学第一医院
1947,韩福军,吉林大学第一医院
1948,霍伟,大连市中心医院
1949,肖宏宇,吉林省肿瘤医院
1950,崔国元,中国医科大学附属盛京医院
1951,朱丽波,辽宁省肿瘤医院
1952,王玲,大连医科大学附属第一医院
1953,朱武,中南大学湘雅医院
1954,刘悦,东莞市人民医院
1955,李吉,中南大学湘雅医院
1955,李吉,中南大学海雅医院
1955,李吉,湘雅医院
1956,张建忠,北京大学人民医院
1957,王曦,四川大学华西医院
1957,王曦,华西医院
1958,华薇,四川大学华西医院
1958,华薇,华西医院
1959,庄明,哈尔滨医科大学附属肿瘤医院
1960,王春波,哈尔滨医科大学附属肿瘤医院
1961,赵庆文,人民医院
1962,陆静,上海东方医院
1963,邢小平,北京协和医院
1964,张达颖,南昌大学第一附属医院
1965,肖和平,同济大学附属上海市肺科医院
1966,李明华,上海交通大学附属第六人民医院
1967,朱冬青,复旦大学附属华山医院
1968,张娟,首都医科大学附属北京朝阳医院
1969,张鸿燕,北京大学第六医院
1970,李剑虹,山西医科大学第一医院
1971,彭淼,中国医科大学附属盛京医院
1972,张民,河南省人民医院
1973,姜从玉,复旦大学附属华山医院
1974,陈浩,西京医院
1975,皇甫烨辉,桐庐中医院
1976,刘明辉,天津医科大学总医院
1976,刘明辉,总医院医院
1977,陈军,天津医科大学总医院
1978,张同梅,北京胸科医院
1979,刘冬先,附属同济医院
1979,刘冬先,武汉同济医院
1980,陈培欣,上海市肺科医院
1981,汤文涛,复旦大学附属中山医院
1982,凌倚峰,华山医院
1983,刘立新,陆军总医院
1984,周云芳,上海儿童医学中心感染科
1985,蒲传强,解放军总医院
1986,周定标,解放军总医院
1987,赵建中,CFDA药审中心
1988,刘杰,天津医科大学第二医院
1988,刘杰,四川大学华西医院
1988,刘杰,山东省肿瘤医院
1988,刘杰,河南省肿瘤医院
1989,吴岩峰,南京医科大学第二附属医院
1990,周雁,北京协和医院
1991,吴晓牧,江西省人民医院
1992,汪凯,安徽医科大学第一附属医院
1992,汪凯,医院神经内科
1993,陈钟琴,浙江大学医学院附属第一医院
1994,徐莹,北京市回民医院
1995,王迎新,东南大学附属中大医院
1996,刘新峰,南京军区南京总医院
1997,刘建林,西安交通大学医学院第一附属医院
1998,高小平,湖南省人民医院
1999,卢德宏,北京宣武医院
2000,袁云,北京大学第一医院
2000,袁云,第一医院
2001,刘龙,贵阳医学院附属医院
2002,茹小娟,北京市神经外科研究所
2003,胡雪艳,中国康复研究中心北京博爱医院
2004,李小刚,北京大学第三医院
2004,李小刚,北京大学第三医院医院
2005,赵传胜,中国医科大学附属第一医院
2006,黄赛娥,福建中医药大学附属康复医院
2007,黄旭升,解放军总医院
2007,黄旭升,北京大学第三医院
2007,黄旭升,华山医院
2008,胡静,河北医科大学第三医院
2008,胡静,武汉大学中南医院
2009,邓丽影,南昌大学第二附属医院
2010,刘惠苗,河北医科大学第一医院
2011,彭丹涛,中日友好医院
2011,彭丹涛,東中日友好医院
2011,彭丹涛,北京大学第三医院
2012,朱赤,第三军医大学大坪医院
2013,谢兆宏,山东大学第二医院
2014,李焰生,上海交通大学医学院附属仁济医院
2014,李焰生,仁济医院
2015,束昊,东南大学附属中大医院
2016,彭国平,浙江大学医学院附属第一医院
2017,崔博,北京协和医院
2017,崔博,首都医科大学宣武医院
2018,胡学强,中山大学附属第三医院
2018,胡学强,中山大学第三医院
2019,王晓家,浙江省肿瘤医院
2019,王晓家,中国科学院大学附属肿瘤医院
2020,陈占红,浙江省肿瘤医院
2021,邓雪英,浙江省肿瘤医院
2022,吉娟,中国医学科学院皮肤病医院
2022,吉娟,福建医科大学附属第一医院
2022,吉娟,吉娟中国医学科学院皮肤病医院
2023,孙东杰,昆明医科大学第一附属医院
2024,林毅,福建医科大学附属第一医院
2024,林毅,附属第一医院
2025,周忠霞,上海市皮肤病医院
2026,周云,江苏省肿瘤医院
2027,李栋庆,常州市第二人民医院
2028,熊春萍,广州医科大学第一附属医院
2028,熊春萍,重庆医科大学附属第一医院
2029,彭亚光,Cochrane中心
2030,毛智,Cochrane中心
2031,袁宝石,Cochrane中心
2032,张天堂,Cochrane中心
2033,李绥,首都医科大学宣武医院
2034,刘震宇,北京协和医院
2035,o梅宏,贵州省人民医院
2036,周建平,东莞市人民医院
2037,毛仁玲,复旦大学附属华东医院
2037,毛仁玲,中国脑积水中心联盟
2037,毛仁玲,绍兴市中心医院
2038,王玮秦,武汉市第一医院
2039,乔刚,杭州市第三人民医院
2040,隋志甫,隋志甫（陆军总医院
2041,苑凯华,广州军区总医院
2041,苑凯华,广州军区广州总医院
2042,陈瑞元,深圳新生植发医院
2043,孙丽秋,牡丹江肿瘤医院
2044,王儒鹏,陆军军医大学新桥医院
2045,游代,陆军军医大学西南医院
2046,王忠诚,清华大学玉泉医院
2047,朱其义,山东省临沂市人民医院
2048,廖新学,中山大学附属第一医院
2049,邱诗林,广西医科大学第一附属医院
2050,曹毅,浙江省中医院
2051,彭勇,宁乡市人民医院
2052,潘曦,湘雅三医院
2053,陈敏,中国医学科学院皮肤病医院
2054,陈少慕,苏州大学附属第一医院
2055,成兴华,上海市胸科医院
2055,成兴华,附属中山医院
2056,林江波,福建医科大学附属协和医院
2056,林江波,九江市第一人民医院
2057,范卫星,东南大学附属中大医院
2057,范卫星,海门市人民医院
2058,阮文静,邵逸夫医院
2058,阮文静,附属邵逸夫医院
2059,王永生,南京鼓楼医院
2060,梅仲明,武汉市中心医院
2061,张萍,张萍北京医院
2062,尹锐,第三军医大学西南医院
2062,尹锐,医学中心
2062,尹锐,第三军医大学附属第一医院
2063,张兵波,同济大学医学院光医学研究所
2064,石磊,上海市皮肤病医院
2064,石磊,遵义医科大学第二附属医院
2065,孙勃,解放军总医院
2066,许二赫,首都医科大学附属宣武医院
2066,许二赫,首都医科大学宣武医院
2067,王璇,郑州大学第三附属医院
2068,周星,广西壮族自治区民族医院
2069,陈贤祯,附属邵逸夫医院
2070,周建波,湖南省人民医院
2071,左智,东南大学附属中大医院
2072,赵哲成,.湖南株洲中心医院
2073,刘友坦,港大深圳医院
2074,柳青,北京协和医院
2075,徐向英,首都医科大学三博脑科医院
2076,林志雄,福建三博福能脑科医院
2076,林志雄,首都医科大学三博脑科医院
2076,林志雄,汕头大学医学院附属肿瘤医院
2077,周玉杰,首都医科大学附属北京安贞医院
2078,董月青,首都医科大学三博脑科医院
2079,张佳栋,首都医科大学三博脑科医院
2080,宋明,宋明首都医科大学三博脑科医院
2081,曲彦明,首都医科大学三博脑科医院
2082,赵天智,空军军医大学唐都医院
2083,吴斌,首都医科大学三博脑科医院
2084,陈东,大连市中心医院
2085,汤志伟,昆明医科大学第一附属医院
2086,王东海,山东大学齐鲁医院
2086,王东海,齐鲁医院
2087,伊志强,北京大学第一医院
2088,邹胜萍,重庆三博江陵医院
2089,刘惠,首都医科大学附属北京世纪坛医院
2090,厉春林,华中科技大学同济医学院附属同济医院
2091,范艳竹,首都医科大学附属北京天坛医院
2092,刘琴,重庆三博长安医院
2093,闫文涛,首都医科大学三博脑科医院
2094,刘颖,航空总医院
2094,刘颖,中国疾病预防控制中心性病艾滋病预防控制中心
2095,汪寅,复旦大学附属华山医院
2096,钟定,北京中日友好医院
2097,陈述花,陈述花首都儿科研究所附属儿童医院
2098,张玮,上海德济医院
2099,栾国明,首都医科大学三博脑科医院
2100,邹丽萍,中国人民解放军总医院
2100,邹丽萍,解放军总医院
2101,崔志强,中国人民解放军总医院
2102,朱君明,浙江大学医学院附属第二医院
2103,何江弘,何江弘首都医科大学附属北京天坛医院
2103,何江弘,南方医科大学珠江医院
2104,吴雪海,上海华山医院
2105,安沂华,中国人民解放军总医院
2106,宗绪毅,首都医科大学附属北京天坛医院
2107,曾高,首都医科大学宣武医院
2108,王劲,北京清华长庚医院
2109,丁玲玲,首都医科大学附属北京中医医院
2110,王天龙,首都医科大学宣武医院
2111,朱明旺,首都医科大学三博脑科医院
2112,朴月善,首都医科大学宣武医院
2113,佟仲生,天津肿瘤医院
2114,王国庆,陕西省肿瘤医院
2115,梁文华,广州医科大学第一附属医院
2116,刘鸿伟,河南省人民医院
2116,刘鸿伟,南省人民医院
2117,许虹,昆明医科大学第一医院
2117,许虹,昆明医科大学第一附属医院
2118,吴勤奋,新疆医科大学第二附属医院
2119,孟新玲,新疆医科大学附属中医医院新疆医科大学第五附属医院
2120,楼敏,浙江医科大学附属第二医院
2120,楼敏,浙江大学医学院附属第二医院
2120,楼敏,国家卒中中心管理指导委员会
2121,王毅,复旦大学附属华山医院
2122,王华燕,福建医科大学附属医院
2123,肖哲曼,天坛医院
2124,胡建,哈尔滨医科大学附属第一医院
2125,黄友岐,中南大学湘雅医院
2126,蔡景龙,外科医院
2126,蔡景龙,广东省中医院
2127,王一淳,北京医院
2128,王小艺,中国医学科学院肿瘤医院
2129,施天明,浙江省人民医院
2130,马军,哈尔滨血液病肿瘤研究所
2131,王小沛,北京大学肿瘤医院
2132,邢琦,尔滨血液病肿瘤研究所
2133,闻淑娟,新疆医科大学附属肿瘤医院
2134,丁凯阳,安徽省肿瘤医院
2135,薛宏伟,青岛大学附属医院
2136,李文雯,深圳市人民医院
2137,陈罡,北京协和医院
2137,陈罡,协和医院
2138,孙勇,江西省胸科医院
2139,黄同海,深圳市人民医院
2140,李栋方,中山大学孙逸仙纪念医院
2141,张锐,南京脑科医院
2142,张祥,复旦大学附属华山医院
2143,张胡莲,四川省民医院
2144,白求恩,北京眼科中心
2145,崔世磊,首都医科大学附属北京同仁医院
2146,傅涛,首都医科大学附属北京同仁医院
2147,江汉秋,首都医科大学附属北京同仁医院
2148,姜利斌,首都医科大学附属北京同仁医院
2149,孔秀云,首都医科大学附属北京同仁医院
2150,刘丽娟,首都医科大学附属北京同仁医院
2151,周东,四川大学华西医院
2152,李连喜,广东省人民医院
2153,李国庆,江西省肿瘤医院
2154,王方正,浙江省肿瘤医院
2155,林少俊,福建省肿瘤医院
2156,陈文杰,瑞士免疫研究研究所
2156,陈文杰,瑞士免疫研究所
2157,朱雯华,复旦大学附属华山医院
2158,许朝晖,同济大学附属东方医院
2159,邓永宁,西安交通大学医学院第一附属医院
2160,胡传,大学第一医院
2161,黄永望,天津医科大学第二医院
2162,傅德慧,天津医科大学第二医院
2163,王珊珊,天津医科大学第二医院
2164,刘阳,天津市南开医院
2164,刘阳,中国人民解放军总医院
2164,刘阳,解放军总医院
2165,urner,湖南省儿童医院
2166,郭小伟,童医院
2166,郭小伟,福州儿童医院
2166,郭小伟,州儿童医院
2167,佟春光,北京朝阳医院
2168,秦斌,北京医院
2169,郭亿莲,广东省中山市中医院
2170,顾黎雄,南通大学附属医院
2171,杨晓双,浙江大学医学院附属第二医院
2172,管宇宙,北京协和医院
2173,邵蓓,温州医科大学附属第一医院
2174,关青,中山大学孙逸仙纪念医院
2175,程楠,安徽中医药大学神经病学研究所
2176,付建辉,复旦大学附属华山医院
2177,胡英环,北京协和医院
2178,谢旭芳,江西省人民医院
2179,段晓聪,邯郸市中心医院
2180,牟巨伟,中国医学科学院肿瘤医院
2181,庄武,福建省肿瘤医院
2182,许亚萍,上海市肺科医院
2183,沈波,江苏省肿瘤医院
2184,陈建华,湖南省肿瘤医院
2185,文晓萍,湖南省肿瘤医院
2186,唐友红,中南大学湘雅医院
2187,戴耕武,四川省人民医院
2188,李瑞蓄,四川省人民医院
2189,王大明,北京医院
2190,彭胜,北京彭胜医院
2191,肖新如,首都医科大学宣武医院
2192,赵建华,云南省第一人民医院
2193,肖顺武,遵义医科大学附属医院
2193,肖顺武,肿瘤专科医院
2194,薛洪利,东北国际医院
2195,杨智勇,昆明医科大学第一附属医院
2196,孙玉明,首都医科大学三博脑科医院
2197,杨学,武汉市普仁医院
2198,王泷,首都医科大学三博脑科医院
2199,杨咏波,南京鼓楼医院
2200,李维佳,云南省第一人民医院
2201,张永力,昆明三博脑科医院
2202,马荣耀,河南大学附属南石医院
2203,薛杉,南方医科大学珠江医院
2204,黄玉雕,哈尔滨医科大学附属第五医院
2205,姚晓黎,中山大学附属第一医院
2206,王雪君,兰州大学第二医院
2207,孙岩,新疆儿童医院
2208,申海,上海交大医学院附属第九人民医院
2209,李值哲,复旦大学附属中山医院
2210,李_明,复旦大学附属中山医院
2211,周冬梅,首都医科大学附属北京中医医院
2211,周冬梅,北京中医医院
2212,李晓燕,北京天坛医院
2213,王维威,北京协和医院
2213,王维威,王维威协和医院
2214,沈岚,上海市胸科医院
2214,沈岚,上海胸科医院
2215,姜明强,河南中医药大学第一附属医院
2216,李湘红,秦皇岛市第四医院
2217,丁波泥,中南大学湘雅三医院
2218,邹立群,四川大学华西医院
2219,欧开萍,北京市朝阳区三环肿瘤医院
2220,陆东庆,中山大学附属第五医院
2221,张杭,解放军第306医院
2222,朱秀轩,上海嘉会国际医院
2223,刘天舒,附属中山医院
2223,刘天舒,复旦大学附属中山医院
2224,袁振刚,海军军医大学第三附属医院
2225,湛先保,长海医院
2226,马利君,附属同仁医院
2227,石燕,同济医院
2227,石燕,附属瑞金医院
2228,姜虹,附属瑞金医院
2228,姜虹,同济大学附属同济医院
2229,吴雅冰,浙江医院
2230,唐曦,复旦大学附属华东医院
2230,唐曦,附属华东医院
2230,唐曦,华东医院
2231,李开春,上海市第四人民医院
2232,翟笑枫,长海医院
2233,陈伟霖,漳州市医院
2234,林琳,北京朝阳医院
2235,方晴霞,浙江省人民医院
2236,陈晓春,福建医科大学附属协和医院
2236,陈晓春,福建医科大学协和医院
2236,陈晓春,首都医科大学宣武医院
2237,王华丽,北京大学第六医院
2238,刘仕勇,陆军军医大学新桥医院
2239,白录东,山东省精神卫生中心
2240,孙平,青岛市精神卫生中心
2241,陈旭,山东省精神卫生中心
2241,陈旭,上海市第八人民医院
2242,李万顺,山东省精神卫生中心
2243,李吉民,北京伊美尔医疗美容医院
2244,胡兰,苏州市第九人民医院
2245,何凡,沈阳军区总医院
2246,徐运,南京市鼓楼医院
2247,刘运海,中南大学湘雅医院
2248,唐宇凤,绵阳市中心医院
2249,倪俊,北京协和医院
2250,孟令超,北京大学第一医院
2251,戴廷军,山东大学齐鲁医院
2252,冯慧宇,中山大学附属第一医院
2253,王丽,广东省人民医院
2254,肖勤,上海交通大学医学院附属瑞金医院
2255,黄恩,福建医科大学附属协和医院
2256,金莉蓉,复旦大学附属中山医院
2257,周凯歌,第二军医大学附属长海医院
2258,孙秀莲,山东大学齐鲁医院
2259,田密,中南大学湘雅三医院
2260,耿媛,河北医科大学第一医院
2261,徐恩,广州医学院第二附属医院
2262,祝春华,河北医科大学第二医院
2263,赵玉武,上海市第六人民医院
2264,马英鑫,上海交通大学医学院附属瑞金医院
2265,刘霞,重庆重庆医科大学附属第一医院
2266,毛志锋,中山大学附属第三医院
2267,梁兵,山东大学齐鲁医院
2268,金薇娜,天津医科大学总医院
2269,汪春娟,山东省立医院
2270,陈玉辉,北京医院
2271,王俊峰,中山大学附属第五医院
2272,王柠,中南大学湘雅三医院
2272,王柠,福建医科大学附属第一医院
2273,黄一宁,北京大学第一医院
2274,姜睿璇,北京天坛医院
2275,黎恩知,四川大学华西医院
2276,王少石,上海市第一人民医院
2277,张成,中山大学附属第一医院
2277,张成,济宁医学院附属医院
2278,黄啸君,上海交通大学医学院附属瑞金医院
2279,洪道俊,南昌大学第一附属医院
2280,赵志华,中山大学附属第三医院
2281,刘建国,海军总医院
2281,刘建国,解放军总医院
2282,孔维泽,北京协和医院
2283,杨毅,第四军医大学西京医院
2283,杨毅,湖北省中医院
2284,孙晓敏,滕州市中心人民医院滕州市人民医院
2285,韩晓深,海军总医院
2286,陈素芹,中山大学附属第三医院
2287,张莺芳,南京医科大学附属南京明基医院
2288,郑伟城,东莞市人民医院
2289,姚志文,上海市杨浦区中心医院
2290,吴钢,福建医科大学附属第一医院
2291,张微微,北京军区总医院
2292,张萌琦,中南大学湘雅医院
2293,张艳,北京宣武医院
2294,冯星彤,吉林大学第一医院
2295,赵一龙,北京天坛医院
2296,王韦,四川大学华西医院
2297,顾仁骏,新乡医学院第二附属医院
2298,张燕芳,南京脑科医院
2299,秦兵,广东省人民医院
2300,吕玉丹,吉林大学第一医院
2301,王倩倩,解放军第105医院
2302,陈婷,解放军总医院
2303,张在强,北京天坛医院
2304,罗苏珊,复旦大学附属华山医院
2305,赵玉英,山东大学齐鲁医院
2305,赵玉英,山东大学齐色医院
2305,赵玉英,山东太学齐色医院
2305,赵玉英,山东太学齐鲁医院
2305,赵玉英,洋齐色医院
2305,赵玉英,山东大学齐包医院
2305,赵玉英,山东太学齐包医院
2305,赵玉英,齐鲁医院
2306,曹彬,中日友好医院
2307,雷艳荣,武汉市中心医院
2308,周密,附属同济医院
2309,巫凯敏,厦门大学附属心血管病医院
2310,吴东,中国医学科学院北京协和医院
2311,卢长林,首都医科大学附属北京朝阳医院
2312,艾丽菲热·买买提,新疆医科大学第一附属医院
2313,程雅琳,北京医院
2314,蒋子涵,中国医学科学院北京协和医院
2315,李晶津,首都医科大学附属北京天坛医院
2316,柏峰,东南大学附属中大医院
2317,王玉凯,佛山市第一人民医院
2318,熊康平,苏州大学第二附属医院
2319,刘君鹏,福建省立医院
2320,沈南,上海交通大学医学院附属仁济医院
2321,唐元家,上海交通大学医学院附属仁济医院
2322,郭衍秋,首都医科大学附属北京安贞医院
2323,王国春,中日友好医院
2324,王宇轩,北京大学人民医院
2325,徐健,昆明医科大学第一附属医院
2326,颜淑敏,北京积水潭医院
2327,陈建新,首都医科大学附属北京世纪坛医院
2328,汪云超,首都医科大学附属北京世纪坛医院
2329,白洁菲,北京医院
2330,黄晓军,北京大学人民医院
2331,刘辉,北京医院
2332,王景文,首都医科大学附属北京同仁医院
2333,杨申淼,北京大学人民医院
2334,张乐,首都医科大学附属北京同仁医院
2335,宋汉臣,北京大学人民医院
2336,宋立强,中国人民解放军空军军医大学西京医院
2337,陈静,北京医院
2337,陈静,南京市儿童医院
2337,陈静,南京医科大学附儿童医院
2338,邓旺,重庆医科大学附属第二医院
2339,吴运福,中国人民解放军空军军医大学西京医院
2340,金金,北京医院
2341,李燕明,北京医院
2342,余超虹,华中科技大学同济医学院附属同济医院
2343,张洁,广州医科大学附属第一医院
2343,张洁,中南大学湘雅二医院
2344,张楠楠,中日医院
2345,朱光发,首都医科大学附属北京安贞医院
2346,宋贝贝,河北医科大学第二医院
2347,李扬,中山大学附属第一医院
2348,蔡薇娜,武汉市第一医院
2349,朱冰,中国医学科学院阜外医院
2350,李福兴,同济大学附属同济医院
2350,李福兴,天津宝纸医院
2350,李福兴,天津宝城医院
2351,谢安,中山医院
2352,科毕波,中山大学附属第八医院
2353,张巍,北京市第一中西医结合医院
2353,张巍,张巍首都医科大学附属北京天坛医院
2353,张巍,空军军医大学唐都医院
2353,张巍,首都医科大学附属北京天坛医院
2353,张巍,北京天坛医院
2354,张媛媛,宁波市康宁医院
2355,汤臻,苏州广济医院
2356,朱焱,玉泉医院
2357,李幼东,河北医科大学第一医院
2358,程昭昭,安徽省立医院
2359,蒋辉华,台州医院
2360,诺贝尔,伦敦国立医院
2361,蔡志梅,连云港市第一人民医院
2362,薛峰,第一医院
2363,方铁,北京儿童医院
2364,付军科,第一附属医院
2364,付军科,西安交通大学第一附属医院
2365,张艰,西京医院
2365,张艰,第一附属医院
2366,张广健,西京医院
2367,温小鹏,第一附属医院
2368,吴齐飞,第一附属医院
2369,焦敏,第一附属医院
2370,李洋,第一附属医院
2371,陈洁,西京医院
2371,陈洁,四川大学华西医院
2371,陈洁,华西医院
2372,叶剑英,浙江大学医学院附属第一医院
2373,张嘉,山东省立医院
2374,李华伟,眼耳鼻喉科医院
2374,李华伟,复旦大学附属眼耳鼻喉科医院
2375,王武庆,眼耳鼻喉科医院
2375,王武庆,复旦大学附属眼耳鼻喉科医院
2375,王武庆,复旦大学眼耳鼻喉科医院
2376,王利一,北京医院
2377,张道宫,山东省耳鼻喉医院
2377,张道宫,山东大学附属山东省耳鼻喉医院
2378,张姓琳,协和医院
2379,吴皓,附属第九人民医院
2379,吴皓,上海交通大学医学院附属第九人民医院
2380,王正敏,眼耳鼻喉科医院
2380,王正敏,复旦大学附属眼耳鼻喉科医院
2381,马秀岚,盛京医院
2381,马秀岚,中国医科大学附属盛京医院
2382,庄建华,海军军医大学附属，长征医院
2382,庄建华,上海长征医院
2383,刘玲,湖北中医药大学附属医院
2383,刘玲,湖北省中医院
2384,张性琳,华中科技大学同济医学院附属协和医院
2385,戴春富,复旦大学附属眼耳鼻喉科医院
2386,郭石平,山西省肿瘤医院
2387,徐世东,哈尔滨医科大学附属第三医院
2388,陈克能,北京大学肿瘤医院
2389,李杰,山西省肿瘤医院
2390,鄂明艳,哈医大附属第三医院
2391,齐丽萍,北京大学肿瘤医院
2392,刘力生,国家心血管，病中心组织
2393,吴宏成,宁波市医疗中心李惠利医院
2394,王非,北京清华长庚医院
2395,梁思泉,天津市环湖医院
2395,梁思泉,天津环湖医院
2395,梁思泉,南开大学附属环湖医院
2396,刘培培,天津市环湖医院
2397,杨鹤超,天津市环湖医院
2398,冯义国,西京医院
2399,宋颖,宝鸡市人民医院
2400,张新卿,首都医科大学宣武医院
2401,郭启浩,复旦大学附属华山医院
2402,吕继辉,北京老年医院
2403,王芬,首都医科大学宣武医院
2403,王芬,华中科技大学同济医学院附属协和医院
2404,玉英,山东太学齐包医院
2404,玉英,山东大学齐包医院
2404,玉英,山东太学齐色医院
2404,玉英,山东大学齐色医院
2405,周新锋,宁波市第二医院
2406,王恩彤,解放军总医院
2407,马羽主,清华大学玉泉医院
2408,许丽华,佳木斯市中心医院
2409,柯辉,福建医科大学第一附属医院
2410,刘业,上海市皮肤病医院
2411,吴德云,上海杨思医院
2412,张丹骑,江苏省中西医结合医院
2413,杨渝平,北京大学第三医院
2414,李媛,附属肿瘤医院
2415,刘雨桃,肿瘤医院
2415,刘雨桃,中国医学科学院肿瘤医院
2415,刘雨桃,医科院肿瘤医院
2416,郭文杰,江苏省肿瘤医院
2417,谭忠华,南通大学附属医院
2418,汤唯艳,江苏省肿瘤医院
2419,杨娅,青岛大学附属医院
2420,刘会玲,甘肃省人民医院
2421,刘友,哈尔滨医科大学附属第二医院
2422,陈光辉,东部战区总医院
2423,王莹,大连医科大学附属第一医院
2423,王莹,天津市中医药研究院附属医院
2423,王莹,天津市第一中心医院
2423,王莹,吉林大学白求恩第一医院
2424,胡永生,首都医科大学宣武医院
2425,郝红琳,北京协和医院
2426,朱宇嘉,重庆医科大学附属第一医院金山医院
2427,杨神记,广东省人民医院
2427,杨神记,附属肿瘤医院
2428,何振,河南省肿瘤医院
2429,全冠民,河北医科大学第二医院
2430,陈中元,附属瑞金医院
2430,陈中元,瑞金医院
2431,张俊,附属瑞金医院
2431,张俊,瑞金医院
2431,张俊,北京大学人民医院
2431,张俊,北大人民医院
2432,朱良纲,苏州市市立医院
2432,朱良纲,附属瑞金医院
2433,时建明,附属瑞金医院
2434,李晓峰,泉州市第一医院
2434,李晓峰,美国CityofHope国家医学中心访问学者
2434,李晓峰,深圳市人民医院
2435,潘月芬,湖州市中心医院
2436,杨全良,常州市肿瘤医院
2437,李洪选,上海市胸科医院
2438,唐新宇,附属瑞金医院
2439,陈莉莉,台州市第一人民医院
2440,周尘飞,附属瑞金医院
2441,徐益元,丽水市人民医院
2442,杨慧,附属瑞金医院
2443,田洪青,中国医学科学院皮肤病医院
2444,张斌,大连市皮肤病医院
2444,张斌,郑州大学第一附属医院
2444,张斌,辽宁省肿瘤医院
2445,梁云生,南方医科大学皮肤病医院
2445,梁云生,深圳市儿童医院
2446,柏冰雪,哈尔滨医科大学附属第二医院
2447,叶莹,新华医院
2448,李神经,李神经会诊中心
2448,李神经,李神经会珍中心
2449,张振,上海第九人民医院
2450,雪莉,河南省人民医院
2451,陈清勇,中国人民解放军第903医院
2452,唐文霞,沂源县中医医院
2453,刘丰韬,复旦大学附属华山医院
2454,刘毅,上海市中医医院
2454,刘毅,重庆市第一人民医院
2454,刘毅,株洲市中心医院
2455,藏发荣,上海市胸科医院
2456,黄三,湖州市第一人民医院
2457,王耀,州市第一人民医院
2458,刘畅,华西医院
2459,武温,上海华东医院
2460,廖文俊,第四军医大学西京皮肤病医院
2460,廖文俊,第四军医大学西京皮肤医院
2461,塔利,中国药学会医院
2462,布莱尼·迪恩·富兰克林,中国药学会医院
2463,崔飞,广州医科大学附属第一医院
2464,郭少侠,北大医院
2465,刘祝琳,陆军特色医学中心
2466,陈永偉,海南省人民医院
2467,钟巍,北京协和医院
2468,祝清清,苏州大学附属第一医院
2469,吕堂烽,东部战区总医院
2470,段俊丽,中国人民解放军总医院
2471,杨敏,北京医院
2472,李清,天坛医院
2473,李选,北京大学第三医院
2474,耿晓坤,附属北京路河医院
2475,石进,空军特色医学中心
2476,袁景林,北京市大兴区人民医院
2477,胡雯,四川大学华西医院
2478,胡志红,中国医学科学院整形外科医院
2479,翁慧,整形美容医院
